gate,selection_requirement,evidence
NS-01,One real contiguous neighbourhood boundary per selected study location,Versioned GeoPackage boundary and source query
NS-02,Acquire with an existing OpenUBEM input mode: address coordinate bounding box or OSM XML,Acquisition configuration and raw footprint manifest
NS-03,Rank candidate areas by residential buildings per km2 and dwelling or residential floor-area proxy,Candidate comparison table with pre-registered density rule
NS-04,Select a dense residential-dominant area rather than a dispersed citywide sample,Selection decision record and rejected-candidate reasons
NS-05,Reach at least 100 residential buildings for N1 after filtering (500-600 preferred not a gate); N2 may be any larger whole official unit (amended 2026-08-24 ruling D-EU-02-C),Residential registry count and exclusion reconciliation
NS-06,Keep the natural/declared boundary; do not trim buildings merely to hit an exact count,Boundary checksum and deterministic spatial join
NS-07,Use identical boundary and building IDs in all four audit panels,Panel-level ID-set equality assertions
NS-08,Show non-residential and unknown-use footprints only as excluded context,Excluded-building manifest disjoint from layout IDF and simulation manifests
NS-09,Report construction period EPC/energy-record availability residential typology and construction material/set,Four-panel figure plus machine-readable category counts
NS-10,Use separate neighbourhood manifests when more than one site is selected,Unique neighbourhood_id and no cross-site aggregation before audit
