id,defining_site,defining_status,latest_document,latest_date,latest_status_quote,bucket,notes,changed_since_2026-08-06
E-LA-06 (warmup half),docs_DONE/SETUP/layoutAssigner/DONE/DONE-implementation_plan.md:616,OPEN-BLOCKED-PARTIAL (2026-07-23),docs_DONE/SETUP/layoutAssigner/DONE/DONE-implementation_plan.md:553,2026-07-26,"Re-attributed, not simply closed -- the SecondarySchool residual was CheckWarmupConvergence, now tracked as the E-LA-14/16/18/19/23 lineage",SUPERSEDED,"Unchanged since 2026-08-06. No document dated after 2026-07-26 revisits this half; the E-LA-14/16/18/19/23 lineage it was folded into is itself untouched at HEAD (openubem/geometry/layout_assigner.py:863-865, comment-only change 2026-08-18 for E-LA-16, not this lineage).",No
E-LA-06 (flow-balance half),docs_DONE/SETUP/layoutAssigner/DONE/DONE-implementation_plan.md:616,OPEN-BLOCKED-PARTIAL (2026-07-23),extra/MEASUREMENT_open-29_eight-defect-recheck.md (table row),2026-08-13,"STILL-OPEN -- openubem/geometry/layout_assigner.py:863-865, 2026-07-26 comment still reads the CheckAirLoopFlowBalance class as pre-existing/untouched; no later document mentions it again except as a still-current label",STILL-OPEN,Re-verified at HEAD 2026-08-18: `grep -n CheckAirLoopFlowBalance openubem/geometry/layout_assigner.py` still hits the same lines; git log --since=2026-08-13 on that file shows only the unrelated E-LA-16 comment fix (b2d0220). Unchanged since 2026-08-06.,No
E-LA-11,docs_DONE/SETUP/layoutAssigner/debug/DONE/PLAN_debug_implementation.md:412,no explicit OPEN/CLOSED word at header (2026-07-23),"INVESTIGATION_open-items-register.md:1804,1915",2026-08-06,"CLOSED-ELSEWHERE -- all closed at the structural-fixes CP-B/CP-C (2026-07-23), reconfirmed 2026-07-25; register's own framing corrected: a stale absence of a status word, not a stale OPEN",CLOSED-ELSEWHERE,No document after 2026-08-06 mentions E-LA-11. Unchanged.,No
E-LA-12,docs_DONE/SETUP/layoutAssigner/debug/DONE/PLAN_debug_implementation.md:424,"OPEN, LATENT/MASKED IN PRODUCTION (2026-07-23)",INVESTIGATION_open-items-register.md:1804,2026-08-06,"CLOSED-ELSEWHERE -- all closed at the structural-fixes CP-B/CP-C (2026-07-23), reconfirmed 2026-07-25",CLOSED-ELSEWHERE,No document after 2026-08-06 mentions E-LA-12. Unchanged.,No
E-LA-13,docs_DONE/SETUP/layoutAssigner/debug/DONE/PLAN_debug_implementation.md:433,OPEN-BLOCKED (2026-07-23),INVESTIGATION_open-items-register.md:1804,2026-08-06,"CLOSED-ELSEWHERE -- all closed at the structural-fixes CP-B/CP-C (2026-07-23), reconfirmed 2026-07-25",CLOSED-ELSEWHERE,No document after 2026-08-06 mentions E-LA-13. Unchanged.,No
E-LA-15,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:270,OPEN (2026-07-23 T04),extra/MEASUREMENT_open-29_eight-defect-recheck.md (table row),2026-08-13,"STILL-OPEN -- named mechanism string SizeAirLoopBranches appears nowhere in production code; never handled, never guarded",STILL-OPEN,"Re-verified at HEAD 2026-08-18: `grep -rn SizeAirLoopBranches openubem/ scripts/ --include=*.py` -> 0 hits, same as 2026-08-13. Unchanged since 2026-08-06.",No
E-LA-16,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:279,OPEN (2026-07-23 T04/T05),"INVESTIGATION_open-items-register.md:5164-5228 (OPEN-51 section, closed 2026-08-18)",2026-08-18,"OPEN-51 (the *identity* question -- which of two readings is the real E-LA-16) is ADJUDICATED + CLOSED + ID RETIRED 2026-08-18. Verdict: E-LA-16 names the cooling-coil-design-UA/cooling-tower-UA-autosize family, the defining-text reading. 'OPEN-29 -- no change.'",STILL-OPEN,"IMPORTANT DISTINCTION, re-verified 2026-08-18, not taken on trust: OPEN-51 closed the REGISTER ITEM asking which of two readings E-LA-16 is -- it did NOT close the underlying defect. The register's own text says so explicitly ('OPEN-29 -- no change... this item resolves the question they deliberately left open', line ~5226). Confirmed live: `grep -rn 'cooling.coil.UA|CoolingCoilUA|cooling.tower.UA|cooling coil design UA' openubem/ scripts/ --include=*.py` matches exactly one line, openubem/geometry/layout_assigner.py:867, which is only the corrected COMMENT text ('E-LA-16 removed from this list 2026-08-18 -- it names a different, unrelated mechanism...'), not a code path that handles the mechanism. Confirmed via `git log -p --since=2026-08-13 -- openubem/geometry/layout_assigner.py`: the only change in that window is this comment (commit b2d0220, 2026-08-18). The defect itself remains unpatched and STILL-OPEN. Bucket is unchanged from 2026-08-06; the citation and the identity ambiguity noted in the 2026-08-06/08-13 traces are now resolved.",Citation only (identity resolved by OPEN-51); bucket unchanged
E-LA-17,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:290,OPEN (2026-07-23 T04),extra/MEASUREMENT_open-29_eight-defect-recheck.md (table row),2026-08-13,STILL-OPEN -- persistent-divergence signature mechanism string appears nowhere in production code,STILL-OPEN,"Re-verified at HEAD 2026-08-18: `grep -rn persistent.divergence openubem/ scripts/ --include=*.py` -> 0 hits, same as 2026-08-13. Unchanged since 2026-08-06.",No
E-LA-18,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:338,OPEN (2026-07-23 T07),"INVESTIGATION_open-items-register.md:5220 (OPEN-51 knock-on, 2026-08-18)",2026-08-18,"OPEN-09's C06 'five inherited log entries' list narrows to four: E-LA-14, E-LA-18, E-LA-19, E-LA-23 (E-LA-16 removed, it is a different mechanism)",STILL-OPEN,"Bucket unchanged: the CheckWarmupConvergence Severe class is still live and unpatched (openubem/geometry/layout_assigner.py:863-865; scripts/cluster/t20_harvest_layout_assign.py:264-265,441-448 still counts it every harvest). The only 2026-08-18 change affecting this row is bookkeeping -- which IDs C06's accuracy finding covers -- not a fix. OPEN-09's C06 (2026-08-06) still only tested one population (nyc_rural/SmallOffice), per MEASUREMENT_open-29_eight-defect-recheck.md section 3.",No (citation refreshed; bucket unchanged)
E-LA-19,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:488,"OPEN, informational (2026-07-24 T10)","INVESTIGATION_open-items-register.md:5220 (OPEN-51 knock-on, 2026-08-18)",2026-08-18,"Same knock-on as E-LA-18 -- narrows the C06 list to four IDs, does not fix the mechanism",STILL-OPEN,Same reasoning as E-LA-18's row. Bucket unchanged since 2026-08-06.,No (citation refreshed; bucket unchanged)
