path,line,literal,classification,action_taken,reason
scripts/analysis/c01_storey_matching_regression.py,153,"# EnergyPlus 23.1's actual spacing is ""** Severe  **"" (two spaces before the",already-correct,left alone,"comment only, describing the real EnergyPlus spacing fact; no matching logic on this line."
scripts/analysis/c01_storey_matching_regression.py,154,"# closing **) -- the original ""** Severe **"" (one space) substring check",already-correct,left alone,"comment only (continuation of :153); the function this documents (severe_lines(), :157) already works around the real ""** Severe  **"" spacing via a prefix+suffix check, not a hard-coded whole-literal match. Also part of the closed layoutAssigner arc (one-off in addition to already-correct) -- either way, no action needed."
scripts/analysis/e02_failure_causes_subsurface.py,8,"backwards from the fatal's position for ""** Severe **"" lines and record",already-correct,left alone,"docstring line describing the method; the actual code (FATAL_RE / SEVERE_RE at :32-33) already uses re.compile(r""\*\*\s+Fatal\s+\*\*"") / r""\*\*\s+Severe\s+\*\*"" -- whitespace-tolerant, matches both spacings. This is the correct pattern; T01's helper generalises it into a shared module."
scripts/analysis/open42_six_failures.py,49,"""fix present) but a **  Fatal  ** from repeated 'Temperature (...) out of bounds' Severe errors in """,already-correct,left alone,"prose only: the marker text appears inside a quoted report string documenting a prior finding (OPEN-42, closed), not inside parsing logic. No literal-match bug present."
scripts/diagnostics/t04_validate_way428643335.py,134,"if any(kw in l for kw in (""** Severe **"", ""** Severe  **"")) or re.search(r""\*\*\s+Fatal\s+\*\*"", l)]",already-correct,left alone,same pattern as t06_validate_relation6374725.py:154 -- director-named already-correct site; also a spent single-building diagnostic.
scripts/diagnostics/t06_validate_relation6374725.py,154,"if any(kw in l for kw in (""** Severe **"", ""** Severe  **"")) or re.search(r""\*\*\s+Fatal\s+\*\*"", l)]",already-correct,left alone,"checks both ""** Severe **"" and ""** Severe  **"" plus a whitespace-tolerant Fatal regex -- one of the two sites the director already named as the pattern to copy. Also a spent single-relation diagnostic (one-off), but already-correct takes precedence since no fix is needed either way."
scripts/validation/phaseE_cpb_fixtures.py,176,"fatal = txt.count(""** Fatal  **"") + txt.count(""**  Fatal  **"")",already-correct,left alone,"checks txt.count(""** Fatal  **"") + txt.count(""**  Fatal  **"") -- both spacings. Director-named already-correct site."
scripts/validation/phaseE_cpb_fixtures.py,177,"severe = txt.count(""** Severe **"") + txt.count(""**  Severe  **"")",already-correct,left alone,"checks txt.count(""** Severe **"") + txt.count(""**  Severe  **"") -- both spacings. Director-named already-correct site."
openubem/simulation/runner.py,140,"if ""**  Fatal  **"" in line:",load-bearing,not repointed -- out of Executor A write-scope,"production sim-status classifier on the path that could produce an adopted artifact. Literal is ""**  Fatal  **"" (two-space, matches the real EnergyPlus form exactly for Fatal) so it is not the one-space bug, but it is also not whitespace-TOLERANT the way T01's helper is. Left untouched: plan §6 restricts Executor A's write-set to 'the load-bearing scripts/** sites' -- openubem/** is outside that set."
tests/test_sim_integration.py,171,"severe = [l for l in lines if ""**  Severe  **"" in l or ""**  Fatal  **"" in l]",load-bearing,not repointed -- out of Executor A write-scope,"integration test asserting on production failure-triage output. Literal is ""**  Severe  **"" (two-space both sides) OR ""**  Fatal  **"". The Fatal half matches real EnergyPlus output; the Severe half does NOT -- every real Severe line found on this machine is ""** Severe  **"" (one space before, two after), so this check silently misses Severe lines the same way the OPEN-45 bug does. Left untouched: tests/** is outside Executor A's write-set per plan §6 (and not one of Executor D's four named test files either) -- flagged here so it is not lost."
