section,key,value
defect_live,grep_count__draw_tier__imputation.py,0
targeted_run,file,tests/test_draw_methods.py
targeted_run,n_passed,43
targeted_run,n_skipped,10
targeted_run_skip_detail,tests\test_draw_methods.py:71,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
targeted_run_skip_detail,tests\test_draw_methods.py:96,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
targeted_run_skip_detail,tests\test_draw_methods.py:581,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
targeted_run_skip_detail,tests\test_draw_methods.py:591,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
targeted_run_skip_detail,tests\test_draw_methods.py:601,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
targeted_run_skip_detail,tests\test_draw_methods.py:611,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
targeted_run_skip_detail,tests\test_draw_methods.py:628,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
targeted_run_skip_detail,tests\test_draw_methods.py:645,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
targeted_run_skip_detail,tests\test_draw_methods.py:676,"OPEN-13 / OPEN-17 / OPEN-36: `imputation._draw_tier` and `imputation._draw_stratum_col_for` do not exist yet (the draw tier's router wiring has never been implemented -- promoting it is OPEN-17, a DESIGN decision this test may not take). Narrowed from a module-level skip so the other tests in this file, which do not need these two symbols, run again."
targeted_run_skip_detail,tests\test_draw_methods.py:698,"OPEN-44 / OPEN-13 / OPEN-17 / OPEN-36: imputation._draw_tier and imputation._draw_stratum_col_for do not exist yet -- the draw tier's router wiring has never been implemented, and promoting it is OPEN-17, a decision reserved to the user, not something this test may enact. Same _HAS_DRAW_TIER guard used by TestNoEUILeakage below."
static_skip_census,test_layout_assigner.py,36
static_skip_census,test_plotting_suite.py,9
static_skip_census,test_building_classifier.py,5
static_skip_census,test_service_loads.py,5
static_skip_census,test_sim_integration.py,5
static_skip_census,test_v19_national_cbecs_rescore.py,4
static_skip_census,test_draw_methods.py,2
static_skip_census,test_impute_montage.py,2
static_skip_census,test_v19_basis_diagnostic.py,2
static_skip_census,test_debias.py,1
static_skip_census,test_resolution_mode_live.py,1
static_skip_census,test_viz_validation.py,1
static_skip_census,TOTAL_SITES,73
quoted_baseline,source,docs/docs_ACTIVE/openings/extra/FIX_open-52_temproot-remedy.md:173
quoted_baseline,value,"1875 passed, 55 skipped, 1930 collected"
collection_count,bare_pytest_q_collect_only_tail,tests/test_zoning.py::TestForcedModes::test_unknown_mode_is_not_not_implemented |  | 1930 tests collected in 1.65s
collection_count,tests_scoped_collect_only_tail,tests/test_zoning.py::TestForcedModes::test_unknown_mode_is_not_not_implemented |  | 1930 tests collected in 1.60s
control,exit_code,2
control,output_tail,"    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | E   ModuleNotFoundError: No module named 'this_module_does_not_exist_anywhere' | =========================== short test summary info =========================== | ERROR tests/test_zzz_open13_control.py | !!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! | 1930 tests collected, 1 error in 1.98s"
