defect_id,n_mentions,n_documents,newest_document,newest_line,newest_mtime,closed_words,open_words,candidate_status,selection_method,excerpt
E-LA-06,128,21,docs/docs_ACTIVE/openings/extra/MEASUREMENT_open-29_status-retrace.md,250,2026-08-18,CLOSED|DISCHARGED|FIXED|RESOLVED|SUPERSEDED,OPEN,STILL OPEN (newest mention says so),substantive,"> the cooling-coil-UA-autosize mechanism itself remains unpatched in production code, confirmed by > `git log -p --since=2026-08-13` showing only a comment-text change. **Recommendation, not a > closure: none of the remaining 7 STILL-OPEN entries (E-LA-06 flow-balance, E-LA-15/16/17/18/19/30/33) > s"
E-LA-11,115,13,docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,594,2026-08-12,CLOSED|DISCHARGED|FALSIFIED|FIXED|NOT A DEFECT|RESOLVED|SUPERSEDED,LATENT|MASKED|OPEN,CLOSED ELSEWHERE (newest mention says so),substantive,"  — the register named it a candidate solely because its *defining* line lacks a status word, but two   later documents (2026-07-23 CP-B, 2026-07-25 e-la-20 investigation) give it an explicit CLOSED   ruling. Rule 11 is exactly why this matters: a defining-line read would have kept E-LA-11 open   in"
E-LA-12,46,10,docs/docs_ACTIVE/openings/extra/MEASUREMENT_open-29_defect-status-trace.md,216,2026-08-06,CLOSED|DISCHARGED|FALSIFIED|FIXED|NOT A DEFECT|RESOLVED|SUPERSEDED,LATENT|MASKED|OPEN,AMBIGUOUS -- newest mention carries both words,substantive,"| Bucket | IDs | Count | |---|---|---| | CLOSED-ELSEWHERE | E-LA-11, E-LA-12, E-LA-13 | 3 | | STILL-OPEN | E-LA-06 (flow-balance half), E-LA-15, E-LA-16, E-LA-17, E-LA-18, E-LA-19, E-LA-21, E-LA-30, E-LA-33 | 9 | | SUPERSEDED | E-LA-06 (warmup half, folded into E-LA-14/16/18/19/23) | 1 |"
E-LA-13,67,12,docs/docs_ACTIVE/openings/extra/MEASUREMENT_open-29_defect-status-trace.md,216,2026-08-06,CLOSED|DISCHARGED|FALSIFIED|FIXED|NOT A DEFECT|SUPERSEDED,LATENT|MASKED|OPEN,AMBIGUOUS -- newest mention carries both words,substantive,"| Bucket | IDs | Count | |---|---|---| | CLOSED-ELSEWHERE | E-LA-11, E-LA-12, E-LA-13 | 3 | | STILL-OPEN | E-LA-06 (flow-balance half), E-LA-15, E-LA-16, E-LA-17, E-LA-18, E-LA-19, E-LA-21, E-LA-30, E-LA-33 | 9 | | SUPERSEDED | E-LA-06 (warmup half, folded into E-LA-14/16/18/19/23) | 1 |"
E-LA-15,44,12,docs/docs_ACTIVE/openings/extra/MEASUREMENT_open-29_status-retrace.md,250,2026-08-18,CLOSED|FIXED|NOT A DEFECT|SUPERSEDED,LATENT|MASKED|OPEN,STILL OPEN (newest mention says so),substantive,"> the cooling-coil-UA-autosize mechanism itself remains unpatched in production code, confirmed by > `git log -p --since=2026-08-13` showing only a comment-text change. **Recommendation, not a > closure: none of the remaining 7 STILL-OPEN entries (E-LA-06 flow-balance, E-LA-15/16/17/18/19/30/33) > s"
E-LA-16,142,19,docs/PROJECT_CHECKLIST.md,1725,2026-08-19,CLOSED|DISCHARGED|FALSIFIED|FIXED|NOT A DEFECT|RESOLVED|RETIRED|SUPERSEDED,LATENT|MASKED|OPEN,STILL OPEN (newest mention says so),substantive,third full fleet run** — this is the only thing left standing between the project and a reproducible published number. (b) **Whether to archive two sets of evidence out of gitignored scratch**: the three `E-LA-16` `.err` originals and the UTCI backfill dataset that is the only thing reproducing OPEN
E-LA-17,39,12,docs/docs_ACTIVE/openings/extra/MEASUREMENT_open-29_defect-status-trace.md,251,2026-08-06,CLOSED|FIXED|NOT A DEFECT|SUPERSEDED,LATENT|MASKED|OPEN,NO STATUS WORD AT NEWEST MENTION,substantive,"- **E-LA-16:** measure current fleet-wide cooling-coil-UA/cooling-tower-UA-autosize failure count on   T20. - **E-LA-17:** measure current fleet-wide count of the persistent-divergence signature on T20. - **E-LA-18:** the warmup lineage's ""cosmetic"" (status-unaffected) label has never been tested fo"
E-LA-18,47,15,docs/docs_ACTIVE/openings/implemenation/PLAN_five-more-items-2026-08-13.md,551,2026-08-14,CLOSED|FIXED|RESOLVED|SUPERSEDED,LATENT|MASKED|OPEN,STILL OPEN (newest mention says so),substantive,"   way. **Two failure signatures are travelling under one ID.** Registered below as a new item rather    than adjudicated here. 2. **E-LA-18/E-LA-19 vs OPEN-09's C06.** C06 answers the *accuracy* question for one population    (`nyc_rural`/`SmallOffice`/`u_roof=0.119`, 96.3% overlap, ≈0.20 kWh/m² at"
E-LA-19,56,18,docs/docs_ACTIVE/openings/implemenation/PLAN_five-more-items-2026-08-13.md,551,2026-08-14,CLOSED|DISCHARGED|FALSIFIED|FIXED|RESOLVED|SUPERSEDED,OPEN,STILL OPEN (newest mention says so),substantive,"   way. **Two failure signatures are travelling under one ID.** Registered below as a new item rather    than adjudicated here. 2. **E-LA-18/E-LA-19 vs OPEN-09's C06.** C06 answers the *accuracy* question for one population    (`nyc_rural`/`SmallOffice`/`u_roof=0.119`, 96.3% overlap, ≈0.20 kWh/m² at"
E-LA-21,90,25,docs/PROJECT_CHECKLIST.md,1684,2026-08-19,CLOSED|DISCHARGED|FALSIFIED|FIXED|RESOLVED|RETIRED|SUPERSEDED|WITHDRAWN,OPEN,AMBIGUOUS -- newest mention carries both words,substantive,"| **OPEN-38** *(sub-question)* | 🔴 **Subsurface sub-question REFUTED, not merely unmeasured.** The three `CHKSBS` warnings sit on `RearStairs`, `Corridor` and `FrontStairs` — never on `LaundryRoomFlr1`, the zone that carries the Severe and kills the run. Every flagged door is 0.0000 m from its wall'"
